"state","Year","Week","Percent of Deaths Due to Pneumonia and Influenza","All Deaths","Number of Pneumonia and Influenza Deaths"
Washington,2010,40,8.16,907,74
Washington,2010,41,7.67,873,67
Washington,2010,42,8.11,950,77
Washington,2010,43,8.11,999,81
Washington,2010,44,7.64,969,74
Washington,2010,45,7.89,887,70
Washington,2010,46,7.45,913,68
Washington,2010,47,8.55,994,85
Washington,2010,48,9.74,986,96
Washington,2010,49,6.32,934,59
Washington,2010,50,8.62,928,80
Washington,2010,51,9.21,966,89
Washington,2010,52,7.35,979,72
Washington,2011,01,9.28,991,92
Washington,2011,02,9.12,987,90
Washington,2011,03,7.62,984,75
Washington,2011,04,9.71,989,96
Washington,2011,05,8.58,956,82
Washington,2011,06,8.62,1056,91
Washington,2011,07,9.46,1036,98
Washington,2011,08,10.44,1054,110
Washington,2011,09,10.38,1040,108
Washington,2011,10,11,991,109
Washington,2011,11,11.52,1042,120
Washington,2011,12,10.08,1032,104
Washington,2011,13,9.72,1018,99
Washington,2011,14,10.06,1014,102
Washington,2011,15,9.7,1000,97
Washington,2011,16,8.54,984,84
Washington,2011,17,7.24,980,71
Washington,2011,18,7.47,991,74
Washington,2011,19,10.1,970,98
Washington,2011,20,9.34,1006,94
Washington,2011,21,8.52,939,80
Washington,2011,22,8.62,916,79
Washington,2011,23,7.99,926,74
Washington,2011,24,9.61,874,84
Washington,2011,25,7.64,890,68
Washington,2011,26,9.47,919,87
Washington,2011,27,6.67,885,59
Washington,2011,28,8.36,957,80
Washington,2011,29,6.99,916,64
Washington,2011,30,8.28,882,73
Washington,2011,31,6.15,895,55
Washington,2011,32,7.1,845,60
Washington,2011,33,7.08,904,64
Washington,2011,34,7.76,915,71
Washington,2011,35,7.64,851,65
Washington,2011,36,7.52,917,69
Washington,2011,37,6.92,910,63
Washington,2011,38,7.95,893,71
Washington,2011,39,6.7,881,59
Washington,2011,40,5.99,902,54
Washington,2011,41,8.82,964,85
Washington,2011,42,8.68,933,81
Washington,2011,43,7.63,918,70
Washington,2011,44,9.4,947,89
Washington,2011,45,9.41,978,92
Washington,2011,46,8.88,946,84
Washington,2011,47,7.73,970,75
